Smiles,MMGBSA dG Bind
CCC=1C=CC(=CC1)C2CNCCN2,-41.55
O=C1CCOC2=CC(F)=CC=C12,-22.83
O=C(O)C1C=CC=CC=C1,-15.98
CCOC=1C=CC=C(C)N1,-26.03
CC=1C=CC=NC1CCO,-31.83
C=1N=C(N=C2CCNCC12)C3CC3,-28.01
CN(C)C1CCCC(N)C1,-22.34
CC=1C=CC(C(N)=O)=C(F)C1,-26.8
COC=1C=CC=CC1C2CNCCN2,-35.75
COC=1C=CN=CC1C#N,-25.25
CC=1C=CC(=CC1)N2CCNCC2=O,-36.01
CCC(C)N1N=CC=C1C(=O)O,-19.44
C1=CC(=CN=C1)C2CNCCN2,-34.75
CC=1C=CN2N=CC(C(=O)O)=C2C1,-11.04
NCCC1=CN2CCSC2=N1,-24.56
CCC=1C=C(ON1)C(=O)O,-6.31
O=C(O)C=1C=CN=C(C1)C(F)(F)F,-18.25
CN1CCCC(C)(CO)C1,-34.78
NC1=NN=C(O1)C(F)(F)F,-19.51
C1=CC=2NCCNC2N=C1,-21.75
CN1CC(=O)NC2=CC=CN=C21,-29.17
C1=CC=2CCCNC2N=C1,-28.55
OCC1CC=2C=CC=CC2C1,-29.12
COC=1C=CC=CC1C2=NN=CO2,-31.88
NC=1C=C(N=CN1)C(F)(F)F,-18.39
OC1CCC=2NN=CC2C1,-29.01
COC=1N=CC=CC1CCN,-22.42
CC1=C(C=NN1C)CCN,-28.86
CC1=NN(C)C=C1CCN,-5.07
OCC=1C=CC(=CC1)C2=CNC=N2,-35.2
COC=1C(C)=CSC1C(=O)O,-19.0
O=C(O)C=1C=CN(CC(F)F)N1,11.33
C=1N=CC=2CCNCCC2N1,-28.28
O=C(O)[C@H]1CCCC(=O)N1,-10.81
C=1C=CC(=CC1)CCC2CNCCO2,-40.24
O=C1CC(CO)CN1C=2C=CC=CC2,-43.56
O=C(O)C=1C=C2CCCCN2N1,-15.8
CCN1N=C(C=C1C(=O)O)C2CC2,-4.61
O=C1NCC=2C=CC(F)=CC12,-22.46
COC=1C=CC=C2C(=O)NCC12,-27.21
O=C1COC=2C=C(F)C=CC12,-20.44
CC1=CC=CN2C(N)=CN=C12,-29.35
NC=1C=NC(=NC1)C(F)(F)F,-22.37
CC=1C=CC=2C=CC=C(C(=O)O)C2N1,-28.48
O=C1C=CC(=NN1)C(F)(F)F,-16.93
O=C1NCCN2N=CC=C12,-22.65
O=C1NCCNC2=CC=CC=C12,-21.57
CCN1N=C(N)C=C1C2CC2,-31.69
CNC=1C=C(C=CN1)OC,-20.31
FC(F)(F)C1=NNC=2C=CN=CC12,-26.12
CCC1=NC(C)=C(O1)C(=O)O,-8.23
CC1(CCCCO1)C(=O)O,-9.04
OCC1=CN=C2C=CC=CN12,-24.75
O=C1CC2(CCCC2)CN1,-23.64
CC(C)CC1CNC(=O)C1,-25.69
CC1(C)CNCC(C)(C)O1,-19.54
CC=1N=C(O)C=CC1C#N,-21.76
CC=1C=CN=CC1CCN,-26.99
O=C(O)CC=1C=CC=C(C1)C(F)F,-19.73
CC(C)CC1(CN)CCC1,-30.56
O=C(O)C=1ON=C2CCCCC12,-5.63
COCC1(CN)CCCC1,2.02
COC1=CC=C2NN=C(N)C2=C1,-26.27
NC=1N=CC(=CN1)C(F)(F)F,-21.37
NC=1C=C(C=CN1)C=2C=CC=NC2,-33.02
C=1C=CC=2NCCOCC2C1,-22.26
C1COC(C1)C2CCNCC2,-25.4
CC=1N=C2CNCCN2N1,-29.32
OCC=1C=CC=C2C=NNC12,-27.31
COC=1C=CN=CC1CO,-23.78
OCCC=1C=CN=C2C=CC=CC12,-34.5
OC1(CCC1)C=2C=CC=CC2,-36.91
NC(=O)C1CCC(F)(F)CC1,-25.11
CC=1NN=C(C1C(=O)O)C(F)(F)F,-18.91
CNC1CCC(CO)CC1,-33.34
NC(=O)C=1C=CN=CC1F,-24.1
CC=1C(N)=CC=NC1CO,-29.06
CC=1ON=C(C1C(=O)O)C2CC2,-12.62
CC1=NOC(=C1C(=O)O)C2CC2,-17.25
OC1CNC=2C=CC=CC2C1,-30.12
O=C(O)C=1C=CC=C2CCNC12,-16.81
OCC1=CC=2C=CN=CC2S1,-26.0
FC=1C=CC(=NC1)C2CCCCN2,-36.9
C=1C=CN2C(=NN=C2C1)C3CCCNC3,-35.71
O=C(O)C1=CC2=C(Cl)C=CC=C2N1,-18.99
CC=1C=CC=C2NC(=CC12)C(=O)O,-17.71
C=1C=CC=2OC(=NC2C1)C3CCCCN3,-35.39
O=C(O)C1=CC2=CC=C(Cl)C=C2N1,-3.31
CC=1NN=C(C1Cl)C(F)(F)F,-26.8
CC1=NOC(=C1C(=O)O)C(F)(F)F,-15.89
CC1NC=2C=CC=CC2NC1=O,-26.1
COC=1C=C(C=CC1F)CO,-32.58
COC=1C=CN=C(C1)C(N)=O,-26.7
OCC1=CN=CN1CC=2C=CC=CC2,-37.97
O=C(O)C=1C=CC=C(N1)C(F)(F)F,-14.82
NC(=O)C=1C=CC=CC1CC(=O)O,-16.02
OCC=1C=CC=2OC=CC2C1,-24.93
O=C(O)CC1=CC=C(Cl)C(F)=C1,-22.15
O=C(O)C=1N=CC=CC1C(F)(F)F,-16.08
O=C(O)C=1C=NC=C(C1)C(F)(F)F,-6.49
C=1C=NC=2OCCNC2C1,-23.37
CN1C(=O)CCC1CC(=O)O,-11.1
CCC1C(=O)NC=2C=CC=CC21,-29.19
CN1N=CC=2C(=O)C=CNC21,-25.54
C1CC2(CN1)CCCOC2,-27.57
OC1CCCC2=CNN=C21,-30.21
C1=NC=2CCNC(C3=CC=CN=C3)C2N1,-36.14
NC=1C=C(C=CN1)C(F)(F)F,-20.76
NC=1C=NC=2CCCCC2C1,-32.22
CC=1C=CN2C(N)=NN=C2C1,-27.52
CN1C=C(C(N)=O)C(N)=N1,-17.99
NC1CCCN2N=CN=C12,-24.27
