mol_id,canonical_smiles,mmgbsa_kcal_mol
210,Cc1ccc(C(N)=O)c(F)c1,-26.8
211,COc1ccccc1C1CNCCN1,-35.75
212,COc1ccncc1C#N,-25.25
213,Cc1ccc(N2CCNCC2=O)cc1,-36.01
214,CCC(C)n1nccc1C(=O)O,-19.44
215,c1cncc(C2CNCCN2)c1,-34.75
216,Cc1ccn2ncc(C(=O)O)c2c1,-11.04
217,NCCc1cn2c(n1)SCC2,-24.56
218,CCc1cc(C(=O)O)on1,-6.31
219,O=C(O)c1ccnc(C(F)(F)F)c1,-18.25
220,CN1CCCC(C)(CO)C1,-34.78
221,Nc1nnc(C(F)(F)F)o1,-19.51
222,c1cnc2c(c1)NCCN2,-21.75
223,CN1CC(=O)Nc2cccnc21,-29.17
224,c1cnc2c(c1)CCCN2,-28.55
225,OCC1Cc2ccccc2C1,-29.12
226,COc1ccccc1-c1nnco1,-31.88
227,Nc1cc(C(F)(F)F)ncn1,-18.39
228,OC1CCc2[nH]ncc2C1,-29.01
229,COc1ncccc1CCN,-22.42
230,Cc1c(CCN)cnn1C,-28.86
231,Cc1nn(C)cc1CCN,-5.07
232,OCc1ccc(-c2c[nH]cn2)cc1,-35.2
233,COc1c(C)csc1C(=O)O,-19.0
234,O=C(O)c1ccn(CC(F)F)n1,11.33
235,c1ncc2c(n1)CCNCC2,-28.28
236,O=C1CCC[C@H](C(=O)O)N1,-10.81
237,c1ccc(CCC2CNCCO2)cc1,-40.24
238,O=C1CC(CO)CN1c1ccccc1,-43.56
239,O=C(O)c1cc2n(n1)CCCC2,-15.8
240,CCn1nc(C2CC2)cc1C(=O)O,-4.61
241,O=C1NCc2ccc(F)cc21,-22.46
242,COc1cccc2c1CNC2=O,-27.21
243,O=C1COc2cc(F)ccc21,-20.44
244,Cc1cccn2c(N)cnc12,-29.35
245,Nc1cnc(C(F)(F)F)nc1,-22.37
246,Cc1ccc2cccc(C(=O)O)c2n1,-28.48
247,O=c1ccc(C(F)(F)F)n[nH]1,-16.93
248,O=C1NCCn2nccc21,-22.65
249,O=C1NCCNc2ccccc21,-21.57
250,CCn1nc(N)cc1C1CC1,-31.69
251,CNc1cc(OC)ccn1,-20.31
252,FC(F)(F)c1n[nH]c2ccncc12,-26.12
253,CCc1nc(C)c(C(=O)O)o1,-8.23
254,CC1(C(=O)O)CCCCO1,-9.04
255,OCc1cnc2ccccn12,-24.75
256,O=C1CC2(CCCC2)CN1,-23.64
257,CC(C)CC1CNC(=O)C1,-25.69
258,CC1(C)CNCC(C)(C)O1,-19.54
259,Cc1nc(O)ccc1C#N,-21.76
260,Cc1ccncc1CCN,-26.99
261,O=C(O)Cc1cccc(C(F)F)c1,-19.73
262,CC(C)CC1(CN)CCC1,-30.56
263,O=C(O)c1onc2c1CCCC2,-5.63
264,COCC1(CN)CCCC1,2.02
265,COc1ccc2[nH]nc(N)c2c1,-26.27
266,Nc1ncc(C(F)(F)F)cn1,-21.37
267,Nc1cc(-c2cccnc2)ccn1,-33.02
268,c1ccc2c(c1)COCCN2,-22.26
269,C1COC(C2CCNCC2)C1,-25.4
270,Cc1nc2n(n1)CCNC2,-29.32
271,OCc1cccc2cn[nH]c12,-27.31
272,COc1ccncc1CO,-23.78
273,OCCc1ccnc2ccccc12,-34.5
274,OC1(c2ccccc2)CCC1,-36.91
275,NC(=O)C1CCC(F)(F)CC1,-25.11
276,Cc1[nH]nc(C(F)(F)F)c1C(=O)O,-18.91
277,CNC1CCC(CO)CC1,-33.34
278,NC(=O)c1ccncc1F,-24.1
279,Cc1c(N)ccnc1CO,-29.06
280,Cc1onc(C2CC2)c1C(=O)O,-12.62
281,Cc1noc(C2CC2)c1C(=O)O,-17.25
282,OC1CNc2ccccc2C1,-30.12
283,O=C(O)c1cccc2c1NCC2,-16.81
284,OCc1cc2ccncc2s1,-26.0
285,Fc1ccc(C2CCCCN2)nc1,-36.9
286,c1ccn2c(C3CCCNC3)nnc2c1,-35.71
287,O=C(O)c1cc2c(Cl)cccc2[nH]1,-18.99
288,Cc1cccc2[nH]c(C(=O)O)cc12,-17.71
289,c1ccc2oc(C3CCCCN3)nc2c1,-35.39
290,O=C(O)c1cc2ccc(Cl)cc2[nH]1,-3.31
291,Cc1[nH]nc(C(F)(F)F)c1Cl,-26.8
292,Cc1noc(C(F)(F)F)c1C(=O)O,-15.89
293,CC1Nc2ccccc2NC1=O,-26.1
294,COc1cc(CO)ccc1F,-32.58
295,COc1ccnc(C(N)=O)c1,-26.7
296,OCc1cncn1Cc1ccccc1,-37.97
297,O=C(O)c1cccc(C(F)(F)F)n1,-14.82
298,NC(=O)c1ccccc1CC(=O)O,-16.02
299,OCc1ccc2occc2c1,-24.93
300,O=C(O)Cc1ccc(Cl)c(F)c1,-22.15
301,O=C(O)c1ncccc1C(F)(F)F,-16.08
302,O=C(O)c1cncc(C(F)(F)F)c1,-6.49
303,c1cnc2c(c1)NCCO2,-23.37
304,CN1C(=O)CCC1CC(=O)O,-11.1
305,CCC1C(=O)Nc2ccccc21,-29.19
306,Cn1ncc2c(=O)cc[nH]c21,-25.54
307,C1COCC2(C1)CCNC2,-27.57
308,OC1CCCc2c[nH]nc21,-30.21
309,c1cncc(C2NCCc3nc[nH]c32)c1,-36.14
310,Nc1cc(C(F)(F)F)ccn1,-20.76
311,Nc1cnc2c(c1)CCCC2,-32.22
